category_id	category_name	parent_id
eddae7cf5f78462fabae503bf7a7e55c	理论资源导航	8a9565ceb5264736874bf498b9cd2d93
0540ba97e98c4f1a8f20a7eadf444804	图书馆	eddae7cf5f78462fabae503bf7a7e55c
12f0db6f00b04599aa451b2a8c210ab5	理论网站	eddae7cf5f78462fabae503bf7a7e55c
18caecfe7bff47c095189175d8ecf92b	经典著作	eddae7cf5f78462fabae503bf7a7e55c
1ccbc292cff54859bfbbc9b14a292b2c	干部学院	eddae7cf5f78462fabae503bf7a7e55c
39d078dbe0e846d6b84ef6743633a484	地方重点新闻网站	eddae7cf5f78462fabae503bf7a7e55c
3c2fc733b6794a75b350f32f412ae967	名专栏	eddae7cf5f78462fabae503bf7a7e55c
44ae005b0cef4658b3c52a68a8d82c3e	智库研究	eddae7cf5f78462fabae503bf7a7e55c
8c5e4f8c535e4ce1b9fa623fc03a57d6	数据资料	eddae7cf5f78462fabae503bf7a7e55c
9850e7b59f80442ca4f07d92419acecf	文献检索	eddae7cf5f78462fabae503bf7a7e55c
ace225c4bb754171965041a9b4444a73	公开课	eddae7cf5f78462fabae503bf7a7e55c
b727dce9f4ac4c0593ccca068f25f72e	党校（行政学院）	eddae7cf5f78462fabae503bf7a7e55c
c555bce864354d45bdf86095591fcf14	党报党刊	eddae7cf5f78462fabae503bf7a7e55c
c6aaeb6b37064771a5bb2a3f8c229452	正能量	eddae7cf5f78462fabae503bf7a7e55c
d818ed3b154a4a21afd582abd30a28fc	理论评论	eddae7cf5f78462fabae503bf7a7e55c
e129840369ed4fad8c7cd3024d0f0d7e	高校重点马院	eddae7cf5f78462fabae503bf7a7e55c
e7edf793779f44838dac2705b5aa2dcf	学习参考	eddae7cf5f78462fabae503bf7a7e55c
eb151720fa4a4a30871cb70b9d89a47c	中央重点新闻网站	eddae7cf5f78462fabae503bf7a7e55c
6705748bbba64963b9ee62d4e035093a	党报	c555bce864354d45bdf86095591fcf14
79c4b0b3d7d14821bab790e3c9ec3cd5	党刊	c555bce864354d45bdf86095591fcf14
